id,name,category,sex,palme dor,goldener bär,leone doro,year,nationality
Ana,anatomie dune chute ,2,NA,1,NA,NA,2023,fra
anlo,andrew lowe,5,2,NA,NA,NA,NA,NA
celo,celine loiseau,5,1,NA,NA,NA,NA,NA
CeNa,centre national du cinéma et de l' Image animée (CNC),4,NA,NA,NA,NA,NA,fra
dath,david thion,5,2,NA,NA,NA,NA,NA
DeDe,departement de la charente-maritime,4,NA,NA,NA,NA,NA,fra
edgu,ed guiney,5,2,NA,NA,NA,NA,NA
ElPi,element pictures,3,NA,NA,NA,NA,NA,usa
emst,emma stone,5,1,NA,NA,NA,NA,NA
FiPa,film paris region ,4,NA,NA,NA,NA,NA,fra
FiPr,film4 productions,3,NA,NA,NA,NA,NA,bri
FrCi,france 2 cinéma,3,NA,NA,NA,NA,NA,fra
FrTr,fruit tree,3,NA,NA,NA,NA,NA,usa
gisa,gilles sacuto ,5,2,NA,NA,NA,NA,NA
jutr,justine triet,1,1,NA,NA,NA,NA,NA
LesFi,les films Pelléas,3,NA,NA,NA,NA,NA,fra
LesFil,les films de Pierre,3,NA,NA,NA,NA,NA,fra
malu,marie-ange luciani,5,1,NA,NA,NA,NA,NA
mipo,milena poylo,5,1,NA,NA,NA,NA,NA
niph,nicolas philibert,1,2,NA,NA,NA,NA,NA
PlPi,plaion pictures ,3,NA,NA,NA,NA,NA,fra
Poo,poor things,2,NA,NA,NA,1,2023,usabriirl
ReAu,region auvergne-rhone-alpes ,4,NA,NA,NA,NA,NA,fra
ReNo,region nouvelle-aquitaine,4,NA,NA,NA,NA,NA,fra
SePi,searchlight pictures,3,NA,NA,NA,NA,NA,usa
Sur,sur ladamant,2,NA,NA,1,NA,2023,fra
TsEn,tsg entertainment ,3,NA,NA,NA,NA,NA,usa
TsPr,ts production ,3,NA,NA,NA,NA,NA,NA
yola,yorgos lanthimos,1,2,NA,NA,NA,NA,NA
