id,name,category,sex,oscar,visitors,publication
gg,greta gerwig,1,1,1,NA,NA
bar,barbie,2,NA,NA,5.91.303,2023
wb,warner bros,3,NA,NA,NA,NA
hf,heyday films,3,NA,NA,NA,NA
lc,luckychap entertainment,3,NA,NA,NA,NA
nb,nbgg pictures,3,NA,NA,NA,NA
ma,mattel films ,3,NA,NA,NA,NA
mp,malibu productions,3,NA,NA,NA,NA
thes,the super mario bros. movie,2,NA,NA,5.311.966,2023
ah,aaron horvath,1,2,3,NA,NA
mj,michael jelenic,1,2,3,NA,NA
pl,pierre leduc,1,2,3,NA,NA
ie,illumination entertainment,3,NA,NA,NA,NA
up,universal pictures,3,NA,NA,NA,NA
ava,avatar - the way of water,2,NA,1,10.202.132,2022
jc,james cameron,1,2,1,NA,NA
le,lightstorm entertainment ,3,NA,NA,NA,NA
20thc,20th century studios,3,NA,NA,NA,NA
te,TSG entertainment ,3,NA,NA,NA,NA
ther,"the rise of gru
",2,NA,3,4.141.424,2022
kb,kyle balda,1,2,3,NA,NA
ba,brad ableson,1,2,3,NA,NA
jdv,jonathan del val ,1,2,3,NA,NA
bd,bora dagtekin,1,2,3,NA,NA
fjg,fack ju göhte 3,2,NA,3,6.108.107,2017
cf,constantin film,3,NA,NA,NA,NA
rp,rat pack,3,NA,NA,NA,NA
rj,rian johnson,1,2,3,NA,NA
stw,star wars - the last jedi,2,NA,3,5.916.695,2017
lf,lucasfilm,3,NA,NA,NA,NA
rbp,ram bergman productions,3,NA,NA,NA,NA
wdp,walt disney pictures,3,NA,NA,NA,NA
ge,gareth edwards,1,2,3,NA,NA
roo,rogue one - a star wars story,2,NA,3,3.994.275,2016
as,andrew stanton,1,2,3,NA,NA
am,angus maclane,1,2,3,NA,NA
fid,finding dorie,2,NA,3,3.921.870,2016
wdas,walt disney animation studios,3,NA,NA,NA,NA
pix,pixar,3,NA,NA,NA,NA
fro,die eiskönigin 2 (frozen 2),2,NA,2,6.785.541,2019
jl,jennifer lee,1,1,3,NA,NA
cb,chris buck,1,2,3,NA,NA
thel,der könig der löwen (the lion king),2,NA,3,5.660.105,2019
jf,jon favreau,1,2,3,NA,NA
boh,bohemian rhapsody,2,NA,2,4.000.091,2018
bs,bryan singer,1,2,3,NA,NA
re,regency enterprises,3,NA,NA,NA,NA
gkf,gk films,3,NA,NA,NA,NA
qf,queen films,3,NA,NA,NA,
pha,phantastische tierwesen - grindelwalds verbrechen,2,NA,3,3.907.653,2018
dy,david yates,1,2,3,NA,NA
sta,star wars - das erwachen der macht,2,NA,3,9.060.311,2015
ja,jeffrey jacob abrams,1,2,3,NA,NA
fac,fack ju göhte 2,2,NA,3,7.734.265,2015
hon,honig im kopf,2,NA,3,7.274.964,2014
ts,til schweiger,1,2,3,NA,NA
bf,barefoot films,3,NA,NA,NA,NA
der,der hobbit - die schlacht der fünf heere,2,NA,3,6.066.455,2014
pj,peter jackson,1,2,1,NA,NA
am,amazon mgm,3,NA,NA,NA,NA
nlc,new line cinema,3,NA,NA,NA,NA
wf,wingnut films,3,NA,NA,NA,NA
3f,3foot7,3,NA,NA,NA,NA
aa,Adil El Arbi,1,2,3,NA,NA
bf,Bilall Fallah ,1,2,3,NA,NA
bad,bad boys for life ,2,NA,3,1.820.035,2020
s,sony pictures ,3,NA,NA,NA,NA
sg,sony pictures germany ,3,NA,NA,NA,NA
cn,christopher nolan,1,2,1,NA,NA
ten,tenet,2,NA,3,1.686.637,2020
sy,syncopy,3,NA,NA,NA,NA
do,double negativ ltd,3,NA,NA,NA,NA
wap,warner bros pictures ,3,NA,NA,NA,NA
