id,name,category,sex,oscar,visitors,publication
20thc,20th century studios,3,NA,NA,NA,NA
ah,aaron horvath,1,2,3,NA,NA
am,angus maclane,1,2,3,NA,NA
as,andrew stanton,1,2,3,NA,NA
ava,avatar - the way of water,2,NA,1,10.202.132,2022
ba,brad ableson,1,2,3,NA,NA
bar,barbie,2,NA,NA,5.91.303,2023
bd,bora dagtekin,1,2,3,NA,NA
boh,bohemian rhapsody,2,NA,2,4.000.091,2018
bs,bryan singer,1,2,3,NA,NA
cb,chris buck,1,2,3,NA,NA
cf,consantin film,3,NA,NA,NA,NA
derk,der könig der löwen,2,NA,3,5.660.105,2019
diee,die eiskönigin 2,2,NA,2,6.785.541,2019
dy,david yates,1,2,3,NA,NA
fid,finding dorie,2,NA,3,3.921.870,2016
fjg,fack ju göhte 3,2,NA,3,6.108.107,2017
ge,gareth edwards,1,2,3,NA,NA
gg,greta gerwig,1,1,1,NA,NA
gkf,gk films,3,NA,NA,NA,NA
hf,heyday films,3,NA,NA,NA,NA
ie,illumination entertainment,3,NA,NA,NA,NA
jc,james cameron,1,2,1,NA,NA
jdv,jonathan del val ,1,2,3,NA,NA
jf,jon favreau,1,2,3,NA,NA
jl,jennifer lee,1,1,3,NA,NA
kb,kyle balda,1,2,3,NA,NA
lc,luckychap entertainment,3,NA,NA,NA,NA
le,lightstorm entertainment ,3,NA,NA,NA,NA
lf,lucasfilm,3,NA,NA,NA,NA
ma,mattel films ,3,NA,NA,NA,NA
mj,michael jelenic,1,2,3,NA,NA
mp,malibu productions,3,NA,NA,NA,NA
nb,nbgg pictures,3,NA,NA,NA,NA
pha,phantastische tierwesen - grindelwalds verbrechen,2,NA,3,3.907.653,2018
pix,pixar,3,NA,NA,NA,NA
pl,pierre leduc,1,2,3,NA,NA
qf,queen films,3,NA,NA,NA,NA
rbp,ram bergman productions,3,NA,NA,NA,NA
re,regency enterprises,3,NA,NA,NA,NA
rj,rian johnson,1,2,3,NA,NA
roo,rogue one - a star wars story,2,NA,3,3.994.275,2016
rp,rat pack,3,NA,NA,NA,NA
stwa,star wars - the last jedi,2,NA,3,5.916.695,2017
te,TSG entertainment ,3,NA,NA,NA,NA
ther,"the rise of gru
",2,NA,3,4.141.424,2022
thes,the super mario bros. movie,2,NA,NA,5.311.966,2023
up,universal pictures,3,NA,NA,NA,NA
wb,warner bros,3,NA,NA,NA,NA
wdas,walt disney animation studios,3,NA,NA,NA,NA
wdp,walt disney pictures,3,NA,NA,NA,NA
