CODEBUCH,
,
Wert,Kommentar
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).
Arbeit an (relation=1),
from,"Regisseur, Produzent, Produktionsfirma"
to ,Film
Geldstrom (z.B. Förderung) (relation=2),
from,Förderung
to ,Film und zu Produktionsfirma
"Zusammenarbeit (reziprok, wird zweimal eingetragen) (relation=3) im Projekt und in Kontakt miteinander",
from,"Regisseur, Produzent des jeweiligen Films untereinander"
to ,"Regisseur, Produzent des jeweiligen Films untereinander"
from,"Produzent, Produktionsfirma (Vorsicht vor falschem Auswerten später -> wir wissen nicht wirklich ob jeder Produzent mit jeder Produktionsfirma zusammenarbeitet) "
to ,"Produktionsfirma, Produzent"
nicht gewertet,Produktionsfirma zu Regie und umgekehrt
Reihenfolge erheben,
,Regie (1) zu Film (2) als erstes
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.
id,"Institutionen (hier wird Groß- und Kleinschreibung beachtet): production company, die ersten zwei Buchstaben der jeweiligen Wörter; Filme, die ersten drei Buchstaben vom ersten Wort; bei Artikeln noch den ersten Buchstaben vom nächsten Wort mitnehmen, Sonderzeichen ignorieren; funding, die ersten zwei Buchstaben der jeweiligen Wörter; fundation, die ersten zwei Buchstaben der jeweiligen Wörter"
,natürliche Personen( hier wird alles klein geschrieben): Producer jeweils die ersten zwei Anfangsbuchstaben der Vor- und Nachnamen (Mittelnamen und Doppelnamen werden weggelassen; directors: die ersten zwei Anfangsbuchstaben der Vor- und Nachnamen (Mittelnamen und Doppelnamen werden weggelassen
,
,
name,Name/ Film/Produktionsfirma in Kleinbuchstaben
NA,definiert fehlende Werte
category,
1,Regisseur*in
2,Film
3,"Produktionsfirma (immer die ersten Buchstaben des jeweiligen Wortes (von jedem Wort des Namens; wenn nur ein Wort, dann nur ein Buchstabe; Zahlen werden wie der erste Buchstabe gewertet, dürfen aber nicht alleine stehen); bei Doppelungen vom ersten Wort nochmal den zweiten Buchstaben vom ersten Wort) nur Produktionsfirmen; dazu zählt auch z.B. Mattel Films weil sie selber produzieren, Firmen wie Nintendo, die sonst nicht selbst produzieren, fallen raus)"
4,Filmförderung
5,Produzent*innen (ohne executive und ohne Koproduzenten ohne line producer)
,
sex,
1,weiblich
2,männlich
3,divers
                   NA,"wenn nur Produktion (o. Produktionsfirma, Förderung oder Preis)"
palme dor,
1,gewonnen
2,nominiert 
NA,für diese Kategorie nicht nominiert
goldener bär,
1,gewonnen
2,nominiert 
NA,für diese Kategorie nicht nominiert
leone doro,
1,gewonnen
2,nominiert 
NA,für diese Kategorie nicht nominiert
,
year,Jahr der Preisverleihung 
                   NA,"bei allen nodes, die keine Filme sind"
nationality,"Nationaliät vom Film, Produktionsfirma und Filmförderung (immer die ersten drei Buchstaben, Kooperationen oder andere Zusammenarbeit der Länder mit jeweils den ersten drei Buchstaben z.B. deuame für deutsch-amerikanisch (erfassen wir in deutscher Sprache)"
,
Allgemeines zum Netzwerk,
,es handelt sich um ein gerichtetes two-mode NW
