id,name,category,sex,palme dor,goldener bär,leone doro,year,nationality
Ana,anatomie dune chute,2,NA,1,NA,NA,2023,fra
jutr,justine triet,1,1,NA,NA,NA,NA,NA
malu,marie-ange luciani,5,1,NA,NA,NA,NA,NA
dath,david thion,5,2,NA,NA,NA,NA,NA
FrCi,france 2 cinema,3,NA,NA,NA,NA,NA,fra
LesFi,les films pelleas,3,NA,NA,NA,NA,NA,fra
LesFil,les films de pierre,3,NA,NA,NA,NA,NA,fra
PlPi,plaion pictures,3,NA,NA,NA,NA,NA,fra
DeDe,departement de la charente-maritime,4,NA,NA,NA,NA,NA,fra
ReAu,region auvergne-rhone-alpes,4,NA,NA,NA,NA,NA,fra
ReNo,region nouvelle-aquitaine,4,NA,NA,NA,NA,NA,fra
CeNa,centre national du cinéma et de l' Image animée (CNC),4,NA,NA,NA,NA,NA,fra
Sur,sur ladamant,2,NA,NA,1,NA,2023,fra
niph,nicolas philibert,1,2,NA,NA,NA,NA,NA
celo,celine loiseau,5,1,NA,NA,NA,NA,NA
gisa,gilles sacuto,5,2,NA,NA,NA,NA,NA
mipo,milena poylo,5,1,NA,NA,NA,NA,NA
TsPr,ts production,3,NA,NA,NA,NA,NA,NA
FiPa,film paris region,4,NA,NA,NA,NA,NA,fra
Poo,poor things,2,NA,NA,NA,1,2023,usabriirl
yola,yorgos lanthimos,1,2,NA,NA,NA,NA,NA
emst,emma stone,5,1,NA,NA,NA,NA,NA
edgu,ed guiney,5,2,NA,NA,NA,NA,NA
anlo,andrew lowe,5,2,NA,NA,NA,NA,NA
ElPi,element pictures,3,NA,NA,NA,NA,NA,usa
FrTr,fruit tree,3,NA,NA,NA,NA,NA,usa
SePi,searchlight pictures,3,NA,NA,NA,NA,NA,usa
TsEn,tsg entertainment,3,NA,NA,NA,NA,NA,usa
FiPr,film4 productions,3,NA,NA,NA,NA,NA,bri
