from,to,relation
TsPr,Sur,1
Lo,Sur,1
CeNaDuCiEtDeLiAn,Sur,2
celo,Sur,1
gisa,Sur,1
mipo,Sur,1
noha,Sur,1
celo,gisa,3
celo,mipo,3
celo,noha,3
gisa,mipo,3
gisa,noha,3
mipo,noha,3
FiPaRe,Sur,2
FiPaRe,Lo,2
CeNaDuCiEtDeLiAn,TsPr,2
CeNaDuCiEtDeLiAn,Lo,2
FiPaRe,TsPr,2
TsPr,celo,3
TsPr,gisa,3
TsPr,mipo,3
TsPr,noha,3
gisa,celo,3
mipo,celo,3
noha,celo,3
mipo,gisa,3
noha,gisa,3
noha,mipo,3
celo,TsPr,3
gisa,TsPr,3
mipo,TsPr,3
noha,TsPr,3
Lo,celo,3
Lo,gisa,3
Lo,mipo,3
Lo,noha,3
celo,Lo,3
gisa,Lo,3
mipo,Lo,3
noha,Lo,3
maza,Alc,1
stsc,Alc,1
tofo,Alc,1
semo,Alc,1
gipo,Alc,1
ElFi,Alc,1
Av,Alc,1
KiPr,Alc,1
ViFi,Alc,1
Eu,Alc,2
maza,stsc,3
maza,tofo,3
maza,semo,3
maza,gipo,3
stsc,maza,3
stsc,gipo,3
stsc,tofo,3
stsc,semo,3
tofo,maza,3
tofo,stsc,3
tofo,gipo,3
tofo,semo,3
semo,maza,3
semo,stsc,3
semo,tofo,3
semo,gipo,3
gipo,maza,3
gipo,stsc,3
gipo,tofo,3
gipo,semo,3
Eu,ElFi,2
Eu,Av,2
Eu,KiPr,2
Eu,ViFi,2
ElFi,maza,3
ElFi,stsc,3
ElFi,tofo,3
ElFi,semo,3
ElFi,gipo,3
maza,ElFi,3
stsc,ElFi,3
tofo,ElFi,3
semo,ElFi,3
gipo,ElFi,3
Av,maza,3
Av,stsc,3
Av,tofo,3
Av,semo,3
Av,gipo,3
maza,Av,3
stsc,Av,3
tofo,Av,3
semo,Av,3
gipo,Av,3
KiPr,maza,3
KiPr,stsc,3
KiPr,tofo,3
KiPr,semo,3
KiPr,gipo,3
maza,KiPr,3
stsc,KiPr,3
tofo,KiPr,3
semo,KiPr,3
gipo,KiPr,3
ViFi,maza,3
ViFi,stsc,3
ViFi,tofo,3
ViFi,semo,3
ViFi,gipo,3
maza,ViFi,3
stsc,ViFi,3
tofo,ViFi,3
semo,ViFi,3
gipo,ViFi,3
adso,Bab,1
path,Bab,1
adch,Bab,1
jiko,Bab,1
anti,Bab,1
En,Bab,1
Ki,Bab,1
MiFi,Bab,1
PaThDi,Bab,1
CeNaDuCiEtDeLiAn,Bab,2
FiFuLu,Bab,2
CzFiFu,Bab,2
CrAuCe,Bab,2
adso,anti,3
path,path,3
adch,adch,3
jiko,jiko,3
path,adso,3
path,anti,3
path,adch,3
path,jiko,3
adch,adso,3
adch,path,3
adch,anti,3
adch,jiko,3
jiko,adso,3
jiko,path,3
jiko,adch,3
jiko,anti,3
anti,adso,3
anti,path,3
anti,adch,3
anti,jiko,3
CeNaDuCiEtDeLiAn,En,2
CeNaDuCiEtDeLiAn,Ki,2
CeNaDuCiEtDeLiAn,MiFi,2
CeNaDuCiEtDeLiAn,PaThDi,2
FiFuLu,En,2
FiFuLu,Ki,2
FiFuLu,MiFi,2
FiFuLu,PaThDi,2
CzFiFu,En,2
CzFiFu,Ki,2
CzFiFu,MiFi,2
CzFiFu,PaThDi,2
CrAuCe,En,2
CrAuCe,Ki,2
CrAuCe,MiFi,2
CrAuCe,PaThDi,2
En,adso,3
En,path,3
En,adch,3
En,jiko,3
En,anti,3
adso,En,3
path,En,3
adch,En,3
jiko,En,3
anti,En,3
Ki,adso,3
Ki,path,3
Ki,adch,3
Ki,jiko,3
Ki,anti,3
adso,Ki,3
path,Ki,3
adch,Ki,3
jiko,Ki,3
anti,Ki,3
MiFi,adso,3
MiFi,path,3
MiFi,adch,3
MiFi,jiko,3
MiFi,anti,3
adso,MiFi,3
path,MiFi,3
adch,MiFi,3
jiko,MiFi,3
anti,MiFi,3
PaThDi,adso,3
PaThDi,path,3
PaThDi,adch,3
PaThDi,jiko,3
PaThDi,anti,3
adso,PaThDi,3
path,PaThDi,3
adch,PaThDi,3
jiko,PaThDi,3
anti,PaThDi,3
mora,She,1
kafa,She,1
fapa,She,1
CoFi,She,1
EuMeNe,She,1
FiInIr,She,1
MoFiHaSc,She,2
mora,kafa,3
mora,fapa,3
kafa,mora,3
kafa,fapa,3
fapa,mora,3
fapa,kafa,3
MoFiHaSc,CoFi,2
MoFiHaSc,EuMeNe,2
MoFiHaSc,FiInIr,2
CoFi,mora,3
CoFi,kafa,3
CoFi,fapa,3
mora,CoFi,3
kafa,CoFi,3
fapa,CoFi,3
EuMeNe,mora,3
EuMeNe,kafa,3
EuMeNe,fapa,3
mora,EuMeNe,3
kafa,EuMeNe,3
fapa,EuMeNe,3
FiInIr,mora,3
FiInIr,kafa,3
FiInIr,fapa,3
mora,FiInIr,3
kafa,FiInIr,3
fapa,FiInIr,3
sasa,Syn,1
mime,Syn,1
oske,Syn,1
takl,Syn,1
jaja,Syn,1
jodo,Syn,1
maad,Syn,1
olpe,Syn,1
rebu,Syn,1
SbFi,Syn,1
KoFi,Syn,1
ArFrCi,Syn,1
PiFi,Syn,1
AiAuCiDuMo,Syn,2
DeFö,Syn,2
Fi,Syn,2
CeNaDuCiEtDeLiAn,Syn,2
sasa,mime,3
sasa,oske,3
sasa,takl,3
sasa,jaja,3
sasa,jodo,3
sasa,maad,3
sasa,olpe,3
sasa,rebu,3
mime,sasa,3
mime,olpe,3
mime,oske,3
mime,takl,3
mime,jaja,3
mime,jodo,3
mime,maad,3
oske,sasa,3
oske,mime,3
oske,rebu,3
oske,takl,3
oske,jaja,3
oske,jodo,3
oske,maad,3
oske,olpe,3
takl,sasa,3
takl,mime,3
takl,oske,3
takl,rebu,3
takl,jaja,3
takl,jodo,3
takl,maad,3
takl,olpe,3
jaja,sasa,3
jaja,mime,3
jaja,oske,3
jaja,takl,3
jaja,rebu,3
jaja,jodo,3
jaja,maad,3
jaja,olpe,3
jodo,sasa,3
jodo,mime,3
jodo,oske,3
jodo,takl,3
jodo,jaja,3
jodo,rebu,3
jodo,maad,3
jodo,olpe,3
maad,sasa,3
maad,mime,3
maad,oske,3
maad,takl,3
maad,jaja,3
maad,jodo,3
maad,rebu,3
maad,olpe,3
olpe,sasa,3
olpe,mime,3
olpe,oske,3
olpe,takl,3
olpe,jaja,3
olpe,jodo,3
olpe,maad,3
olpe,rebu,3
rebu,sasa,3
rebu,mime,3
rebu,oske,3
rebu,takl,3
rebu,jaja,3
rebu,jodo,3
rebu,maad,3
rebu,olpe,3
AiAuCiDuMo,SbFi,2
AiAuCiDuMo,KoFi,2
AiAuCiDuMo,ArFrCi,2
AiAuCiDuMo,PiFi,2
DeFö,SbFi,2
