id,name,category,sex,palme dor,goldener bär,leone doro,felix,pardo doro,year,nationality,funding,korrigiert
Sur,sur ladamant,1,99,99,1,99,2,99,2023,frajap,1,x
celo,celine loiseau,2,1,99,99,99,99,99,99,99,99,
gisa,gilles sacuto,2,2,99,99,99,99,99,99,99,99,
mipo,milena poylo,2,1,99,99,99,99,99,99,99,99,
noha,norio hatano,2,2,99,99,99,99,99,99,99,99,
TsPr,ts production,3,99,99,99,99,99,99,99,fra,99,
Lo,longride,3,99,99,99,99,99,99,99,jap,99,
FiPaRe,film paris region,4,99,99,99,99,99,99,99,fra,99,
Alc,Alcarras,1,99,99,1,99,2,99,2022,spaita,1,x
maza,maria zamora,2,1,99,99,99,99,99,99,99,99,
stsc,stefan schmitz,2,2,99,99,99,99,99,99,99,99,
tofo,tono folguera,2,2,99,99,99,99,99,99,99,99,
semo,sergi moreno,2,2,99,99,99,99,99,99,99,99,
gipo,giovanni pompili,2,2,99,99,99,99,99,99,99,99,
ElFi,elastica films,3,99,99,99,99,99,99,99,spa,99,
Av,avalon,3,99,99,99,99,99,99,99,spa,99,
KiPr,kino produzioni,3,99,99,99,99,99,99,99,ita,99,
ViFi,vilaut films,3,99,99,99,99,99,99,99,spa,99,
Bab,babardeala cu bucluc sau porno balamuc,1,99,99,1,99,99,99,2021,rumluxkrotsc,1,x
adso,ada solomon,2,1,99,99,99,99,99,99,99,99,
path,paul thiltges,2,2,99,99,99,99,99,99,99,99,
adch,adrien chef,2,2,99,99,99,99,99,99,99,99,
jiko,jiri konecny,2,2,99,99,99,99,99,99,99,99,
anti,ankica juric tilic,2,1,99,99,99,99,99,99,99,99,
En,endorfilm,3,99,99,99,99,99,99,99,tsc,99,
Ki,kinorama,3,99,99,99,99,99,99,99,kro,99,
MiFi,micro film,3,99,99,99,99,99,99,99,rum,99,
PaThDi,paul thiltges distributions,3,99,99,99,99,99,99,99,lux,99,
FiFuLu,film fund luxembourg,4,99,99,99,99,99,99,99,lux,99,
CzFiFu,czech film fund,4,99,99,99,99,99,99,99,tsc,99,
CrAuCe,croatian audiovisual centre,4,99,99,99,99,99,99,99,kro,99,
She,sheytan vojud nadarad,1,99,99,1,99,99,99,2020,deutscira,1,x
mora,mohammad rasoulof,2,2,99,99,99,99,99,99,99,99,
kafa,kaveh farnam,2,2,99,99,99,99,99,99,99,99,
fapa,farzad pak,2,2,99,99,99,99,99,99,99,99,
CoFi,cosmopol film,3,99,99,99,99,99,99,99,deu,99,
EuMeNe,europe media nest,3,99,99,99,99,99,99,99,tsc,99,
FiInIr,filminiran,3,99,99,99,99,99,99,99,ira,99,
Syn,synonymes,1,99,99,1,99,99,99,2019,fraisrdeu,1,x
sasa,said ben said,2,2,99,99,99,99,99,99,99,99,
mime,michel merkt,2,2,99,99,99,99,99,99,99,99,
oske,osnat handelsman keren,2,1,99,99,99,99,99,99,99,99,
takl,talia kleinhendler,2,1,99,99,99,99,99,99,99,99,
jaja,janine jackowski,2,1,99,99,99,99,99,99,99,99,
jodo,jonas dornbach,2,2,99,99,99,99,99,99,99,99,
maad,maren ade,2,1,99,99,99,99,99,99,99,99,
olpe,olivier pere,2,2,99,99,99,99,99,99,99,99,
rebu,remi burah,2,2,99,99,99,99,99,99,99,99,
SbFi,sbs films,3,99,99,99,99,99,99,99,fra,99,
KoFi,komplizen film,3,99,99,99,99,99,99,99,deu,99,
