from,to,relation
FrCi,Ana,1
LeFiPe,Ana,1
LeFiDePi,Ana,1
AuRhAlCi,Ana,1
DeDeLaChMa,Ana,2
ReAu,Ana,2
ReNo,Ana,2
CeNaDuCiEtDeLiAn,Ana,2
malu,dath,3
dath,malu,3
dath,Ana,1
malu,Ana,1
DeDeLaChMa,LeFiPe,2
DeDeLaChMa,LeFiDePi,2
DeDeLaChMa,FrCi,2
DeDeLaChMa,AuRhAlCi,2
ReAu,FrCi,2
ReAu,LeFiPe,2
ReAu,LeFiDePi,2
ReAu,AuRhAlCi,2
ReNo,FrCi,2
ReNo,LeFiPe,2
ReNo,AuRhAlCi,2
ReNo,LeFiDePi,2
CeNaDuCiEtDeLiAn,FrCi,2
CeNaDuCiEtDeLiAn,LeFiPe,2
CeNaDuCiEtDeLiAn,LeFiDePi,2
CeNaDuCiEtDeLiAn,AuRhAlCi,2
FrCi,malu,3
LeFiPe,malu,3
LeFiDePi,malu,3
AuRhAlCi,malu,3
FrCi,dath,3
LeFiPe,dath,3
LeFiDePi,dath,3
AuRhAlCi,dath,3
malu,FrCi,3
malu,LeFiPe,3
malu,LeFiDePi,3
malu,AuRhAlCi,3
dath,FrCi,3
dath,LeFiPe,3
dath,LeFiDePi,3
dath,AuRhAlCi,3
edgu,Poo,1
emst,Poo,1
anlo,Poo,1
dami,Poo,1
ilke,Poo,1
kama,Poo,1
yola,Poo,1
edgu,emst,3
edgu,yola,3
edgu,dami,3
edgu,ilke,3
edgu,kama,3
edgu,anlo,3
emst,dami,3
emst,ilke,3
emst,kama,3
emst,edgu,3
emst,anlo,3
emst,yola,3
anlo,dami,3
anlo,ilke,3
anlo,kama,3
anlo,edgu,3
anlo,emst,3
anlo,yola,3
yola,dami,3
yola,ilke,3
yola,kama,3
yola,edgu,3
yola,emst,3
yola,anlo,3
dami,ilke,3
dami,kama,3
dami,edgu,3
dami,emst,3
dami,anlo,3
dami,yola,3
ilke,dami,3
ilke,kama,3
ilke,edgu,3
ilke,emst,3
ilke,anlo,3
ilke,yola,3
kama,dami,3
kama,ilke,3
kama,edgu,3
kama,emst,3
kama,anlo,3
kama,yola,3
ElPi,Poo,1
FrTr,Poo,1
SePi,Poo,1
FiPr,Poo,1
emst,ElPi,3
emst,FrTr,3
emst,SePi,3
emst,FiPr,3
edgu,ElPi,3
edgu,FrTr,3
edgu,SePi,3
edgu,FiPr,3
anlo,ElPi,3
anlo,FrTr,3
anlo,SePi,3
anlo,FiPr,3
yola,ElPi,3
yola,FrTr,3
yola,SePi,3
yola,FiPr,3
dami,ElPi,3
dami,FrTr,3
dami,SePi,3
dami,FiPr,3
ilke,ElPi,3
ilke,FrTr,3
ilke,SePi,3
ilke,FiPr,3
kama,ElPi,3
kama,FrTr,3
kama,SePi,3
kama,FiPr,3
ElPi,emst,3
FrTr,emst,3
SePi,emst,3
FiPr,emst,3
ElPi,dami,3
FrTr,dami,3
SePi,dami,3
FiPr,dami,3
ElPi,ilke,3
FrTr,ilke,3
SePi,ilke,3
FiPr,ilke,3
ElPi,kama,3
FrTr,kama,3
SePi,kama,3
FiPr,kama,3
ElPi,edgu,3
FrTr,edgu,3
SePi,edgu,3
FiPr,edgu,3
ElPi,anlo,3
FrTr,anlo,3
SePi,anlo,3
FiPr,anlo,3
ElPi,yola,3
FrTr,yola,3
SePi,yola,3
FiPr,yola,3
CoInFi,Mant,1
alah,Mant,1
side,Mant,1
alah,side,3
side,alah,3
CoInFi,alah,3
CoInFi,side,3
alah,CoInFi,3
side,CoInFi,3
EsFi,Reg,1
StMo,Reg,1
BuPr,Reg,1
Im,Reg,1
tale,Reg,1
jumu,Reg,1
tale,jumu,3
jumu,tale,3
EsFi,tale,3
StMo,tale,3
BuPr,tale,3
Im,tale,3
EsFi,jumu,3
StMo,jumu,3
BuPr,jumu,3
Im,jumu,3
tale,EsFi,3
tale,StMo,3
tale,BuPr,3
tale,Im,3
jumu,EsFi,3
jumu,StMo,3
jumu,BuPr,3
jumu,Im,3
LoFi,Cho,1
SnFi,Cho,1
Pi,Cho,1
ReCiBeDo,Cho,1
joba,Cho,1
saga,Cho,1
bedo,Cho,1
maro,Cho,1
joba,saga,3
joba,bedo,3
joba,maro,3
maro,saga,3
maro,bedo,3
maro,joba,3
bedo,joba,3
bedo,saga,3
bedo,maro,3
saga,joba,3
bedo,joba,3
saga,maro,3
bedo,maro,3
joba,maro,3
joba,bedo,3
saga,bedo,3
LoFi,joba,3
LoFi,saga,3
LoFi,bedo,3
LoFi,maro,3
SnFi,joba,3
SnFi,saga,3
SnFi,bedo,3
SnFi,maro,3
Pi,joba,3
Pi,saga,3
Pi,bedo,3
Pi,maro,3
ReCiBeDo,joba,3
ReCiBeDo,saga,3
ReCiBeDo,bedo,3
ReCiBeDo,maro,3
joba,LoFi,3
saga,LoFi,3
bedo,LoFi,3
