from,to,relation
OpFil,Zim,1
MkPr,Zim,1
ApPi,Zim,1
SiFi,Zim,1
ArFrCi,Zim,1
Eu,Zim,2
PoFi,Zim,2
tase,Zim,1
ewpu,Zim,1
mabe,Zim,1
pidz,Zim,1
tase,ewpu,3
tase,mabe,3
tase,pidz,3
ewpu,tase,3
mabe,tase,3
pidz,tase,3
ewpu,mabe,3
ewpu,pidz,3
mabe,ewpu,3
pidz,ewpu,3
mabe,pidz,3
pidz,mabe,3
Eu,OpFil,2
Eu,MkPr,2
Eu,ApPi,2
Eu,SiFi,2
Eu,ArFrCi,2
PoFi,OpFil,2
PoFi,MkPr,2
PoFi,ApPi,2
PoFi,SiFi,2
PoFi,ArFrCi,2
tase,OpFil,3
ewpu,OpFil,3
mabe,OpFil,3
pidz,OpFil,3
OpFil,tase,3
OpFil,ewpu,3
OpFil,mabe,3
OpFil,pidz,3
MkPr,tase,3
MkPr,ewpu,3
MkPr,mabe,3
MkPr,pidz,3
tase,MkPr,3
ewpu,MkPr,3
mabe,MkPr,3
pidz,MkPr,3
ApPi,tase,3
ApPi,ewpu,3
ApPi,mabe,3
ApPi,pidz,3
tase,ApPi,3
ewpu,ApPi,3
mabe,ApPi,3
pidz,ApPi,3
SiFi,tase,3
SiFi,ewpu,3
SiFi,mabe,3
SiFi,pidz,3
tase,SiFi,3
ewpu,SiFi,3
mabe,SiFi,3
pidz,SiFi,3
ArFrCi,tase,3
ArFrCi,ewpu,3
ArFrCi,mabe,3
ArFrCi,pidz,3
tase,ArFrCi,3
ewpu,ArFrCi,3
mabe,ArFrCi,3
pidz,ArFrCi,3
PlPr,TheS,1
EsFiPr,TheS,1
ArFrCi,TheS,1
CoOf,TheS,1
FiIVä,TheS,1
ImEnCo,TheS,1
SoPaDePr,TheS,1
SvTeAb,TheS,1
Fi,TheS,2
MeBe,TheS,2
CrEuMe,TheS,2
sana,TheS,1
erhe,TheS,1
phbo,TheS,1
olpe,TheS,1
kaad,TheS,1
iswi,TheS,1
sana,erhe,3
sana,phbo,3
sana,olpe,3
sana,kaad,3
sana,iswi,3
erhe,sana,3
phbo,sana,3
olpe,sana,3
kaad,sana,3
iswi,sana,3
erhe,phbo,3
erhe,olpe,3
erhe,kaad,3
erhe,iswi,3
phbo,erhe,3
olpe,erhe,3
kaad,erhe,3
iswi,erhe,3
phbo,olpe,3
phbo,kaad,3
phbo,iswi,3
olpe,phbo,3
kaad,phbo,3
iswi,phbo,3
olpe,kaad,3
olpe,iswi,3
kaad,iswi,3
kaad,olpe,3
iswi,kaad,3
iswi,olpe,3
Fi,PlPr,2
Fi,EsFiPr,2
Fi,ArFrCi,2
Fi,CoOf,2
Fi,FiIVä,2
Fi,ImEnCo,2
Fi,SoPaDePr,2
Fi,SvTeAb,2
MeBe,PlPr,2
MeBe,EsFiPr,2
MeBe,ArFrCi,2
MeBe,CoOf,2
MeBe,FiIVä,2
MeBe,ImEnCo,2
MeBe,SoPaDePr,2
MeBe,SvTeAb,2
CrEuMe,PlPr,2
CrEuMe,EsFiPr,2
CrEuMe,ArFrCi,2
CrEuMe,CoOf,2
CrEuMe,FiIVä,2
CrEuMe,ImEnCo,2
CrEuMe,SoPaDePr,2
CrEuMe,SvTeAb,2
sana,PlPr,3
sana,EsFiPr,3
sana,ArFrCi,3
sana,CoOf,3
sana,FiIVä,3
sana,ImEnCo,3
sana,SoPaDePr,3
sana,SvTeAb,3
PlPr,sana,3
EsFiPr,sana,3
ArFrCi,sana,3
CoOf,sana,3
FiIVä,sana,3
ImEnCo,sana,3
SoPaDePr,sana,3
SvTeAb,sana,3
erhe,PlPr,3
erhe,EsFiPr,3
erhe,ArFrCi,3
erhe,CoOf,3
erhe,FiIVä,3
erhe,ImEnCo,3
erhe,SoPaDePr,3
erhe,SvTeAb,3
PlPr,erhe,3
EsFiPr,erhe,3
ArFrCi,erhe,3
CoOf,erhe,3
FiIVä,erhe,3
ImEnCo,erhe,3
SoPaDePr,erhe,3
SvTeAb,erhe,3
phbo,PlPr,3
phbo,EsFiPr,3
phbo,ArFrCi,3
phbo,CoOf,3
phbo,FiIVä,3
phbo,ImEnCo,3
phbo,SoPaDePr,3
phbo,SvTeAb,3
PlPr,phbo,3
EsFiPr,phbo,3
ArFrCi,phbo,3
CoOf,phbo,3
FiIVä,phbo,3
ImEnCo,phbo,3
SoPaDePr,phbo,3
SvTeAb,phbo,3
kaad,PlPr,3
kaad,EsFiPr,3
kaad,ArFrCi,3
kaad,CoOf,3
kaad,FiIVä,3
kaad,ImEnCo,3
kaad,SoPaDePr,3
kaad,SvTeAb,3
PlPr,kaad,3
EsFiPr,kaad,3
ArFrCi,kaad,3
CoOf,kaad,3
FiIVä,kaad,3
ImEnCo,kaad,3
SoPaDePr,kaad,3
SvTeAb,kaad,3
olpe,PlPr,3
olpe,EsFiPr,3
olpe,ArFrCi,3
olpe,CoOf,3
olpe,FiIVä,3
olpe,ImEnCo,3
olpe,SoPaDePr,3
olpe,SvTeAb,3
PlPr,olpe,3
EsFiPr,olpe,3
ArFrCi,olpe,3
CoOf,olpe,3
FiIVä,olpe,3
ImEnCo,olpe,3
SoPaDePr,olpe,3
SvTeAb,olpe,3
iswi,PlPr,3
iswi,EsFiPr,3
iswi,ArFrCi,3
iswi,CoOf,3
iswi,FiIVä,3
iswi,ImEnCo,3
iswi,SoPaDePr,3
iswi,SvTeAb,3
PlPr,iswi,3
EsFiPr,iswi,3
ArFrCi,iswi,3
CoOf,iswi,3
FiIVä,iswi,3
ImEnCo,iswi,3
SoPaDePr,iswi,3
SvTeAb,iswi,3
Co99Fi,Ton,1
KoFi,Ton,1
Hi,Ton,1
MiLiFi,Ton,1
BuFiMe,Ton,2
DeFi,Ton,2
Fi,Ton,2
FiMeNr,Ton,2
FiBa,Ton,2
MeBe,Ton,2
MoFiHaSc,Ton,2
ÖsFi,Ton,2
GeFi,Ton,2
Eu,Ton,2
maad,Ton,1
jodo,Ton,1
jaja,Ton,1
ansv,Ton,1
brwa,Ton,1
iota,Ton,1
maad,jodo,3
maad,jaja,3
maad,ansv,3
maad,brwa,3
maad,iota,3
jaja,maad,3
ansv,maad,3
brwa,maad,3
iota,maad,3
jodo,maad,3
jodo,jaja,3
jodo,ansv,3
jodo,brwa,3
jodo,iota,3
jaja,jodo,3
ansv,jodo,3
brwa,jodo,3
iota,jodo,3
jaja,ansv,3
jaja,brwa,3
jaja,iota,3
ansv,jaja,3
brwa,jaja,3
iota,jaja,3
ansv,brwa,3
ansv,iota,3
brwa,ansv,3
iota,ansv,3
brwa,iota,3
iota,brwa,3
BuFiMe,Co99Fi,2
BuFiMe,KoFi,2
BuFiMe,Hi,2
BuFiMe,MiLiFi,2
DeFi,Co99Fi,2
DeFi,KoFi,2
DeFi,Hi,2
DeFi,MiLiFi,2
Fi,Co99Fi,2
Fi,KoFi,2
Fi,Hi,2
Fi,MiLiFi,2
FiMeNr,Co99Fi,2
FiMeNr,KoFi,2
FiMeNr,Hi,2
FiMeNr,MiLiFi,2
FiBa,Co99Fi,2
FiBa,KoFi,2
FiBa,Hi,2
FiBa,MiLiFi,2
MeBe,Co99Fi,2
MeBe,KoFi,2
MeBe,Hi,2
MeBe,MiLiFi,2
MoFiHaSc,Co99Fi,2
MoFiHaSc,KoFi,2
MoFiHaSc,Hi,2
MoFiHaSc,MiLiFi,2
ÖsFi,Co99Fi,2
ÖsFi,KoFi,2
ÖsFi,Hi,2
ÖsFi,MiLiFi,2
GeFi,Co99Fi,2
GeFi,KoFi,2
GeFi,Hi,2
GeFi,MiLiFi,2
Eu,Co99Fi,2
Eu,KoFi,2
Eu,Hi,2
Eu,MiLiFi,2
Co99Fi,maad,3
Co99Fi,jodo,3
Co99Fi,jaja,3
Co99Fi,ansv,3
Co99Fi,brwa,3
Co99Fi,iota,3
KoFi,maad,3
KoFi,jodo,3
KoFi,jaja,3
KoFi,ansv,3
KoFi,brwa,3
KoFi,iota,3
Hi,maad,3
Hi,jodo,3
Hi,jaja,3
Hi,ansv,3
Hi,brwa,3
Hi,iota,3
MiLiFi,maad,3
MiLiFi,jodo,3
MiLiFi,jaja,3
MiLiFi,ansv,3
MiLiFi,brwa,3
MiLiFi,iota,3
maad,Co99Fi,3
jodo,Co99Fi,3
jaja,Co99Fi,3
ansv,Co99Fi,3
brwa,Co99Fi,3
iota,Co99Fi,3
maad,KoFi,3
jodo,KoFi,3
jaja,KoFi,3
ansv,KoFi,3
brwa,KoFi,3
iota,KoFi,3
maad,Hi,3
jodo,Hi,3
jaja,Hi,3
ansv,Hi,3
brwa,Hi,3
iota,Hi,3
maad,MiLiFi,3
jodo,MiLiFi,3
jaja,MiLiFi,3
ansv,MiLiFi,3
brwa,MiLiFi,3
iota,MiLiFi,3
InFi,You,1
CAg,You,1
MeFil,You,1
Eu,You,2
vias,You,1
chca,You,1
frci,You,1
faco,You,1
nigi,You,1
elka,You,1
dako,You,1
rogr,You,1
musa,You,1
jesey,You,1
anwa,You,1
stwo,You,1
vias,chca,3
vias,frci,3
vias,faco,3
vias,nigi,3
vias,elka,3
vias,dako,3
vias,rogr,3
vias,musa,3
vias,jesey,3
vias,anwa,3
vias,stwo,3
chca,vias,3
frci,vias,3
faco,vias,3
nigi,vias,3
elka,vias,3
dako,vias,3
rogr,vias,3
musa,vias,3
jesey,vias,3
anwa,vias,3
stwo,vias,3
chca,frci,3
chca,faco,3
chca,nigi,3
chca,elka,3
chca,dako,3
chca,rogr,3
chca,musa,3
chca,jesey,3
chca,anwa,3
chca,stwo,3
frci,chca,3
faco,chca,3
nigi,chca,3
elka,chca,3
dako,chca,3
rogr,chca,3
musa,chca,3
jesey,chca,3
anwa,chca,3
stwo,chca,3
frci,faco,3
frci,nigi,3
frci,elka,3
frci,dako,3
frci,rogr,3
frci,musa,3
frci,jesey,3
frci,anwa,3
frci,stwo,3
faco,frci,3
nigi,frci,3
elka,frci,3
dako,frci,3
rogr,frci,3
musa,frci,3
jesey,frci,3
anwa,frci,3
stwo,frci,3
faco,nigi,3
faco,elka,3
faco,dako,3
faco,rogr,3
faco,musa,3
faco,jesey,3
faco,anwa,3
faco,stwo,3
nigi,faco,3
elka,faco,3
dako,faco,3
rogr,faco,3
musa,faco,3
jesey,faco,3
anwa,faco,3
stwo,faco,3
nigi,elka,3
nigi,dako,3
nigi,rogr,3
nigi,musa,3
nigi,jesey,3
nigi,anwa,3
nigi,stwo,3
elka,nigi,3
dako,nigi,3
rogr,nigi,3
musa,nigi,3
jesey,nigi,3
anwa,nigi,3
stwo,nigi,3
elka,dako,3
elka,rogr,3
elka,musa,3
elka,jesey,3
elka,anwa,3
elka,stwo,3
dako,elka,3
rogr,elka,3
musa,elka,3
jesey,elka,3
anwa,elka,3
stwo,elka,3
dako,rogr,3
dako,musa,3
dako,jesey,3
dako,anwa,3
dako,stwo,3
rogr,dako,3
musa,dako,3
jesey,dako,3
anwa,dako,3
stwo,dako,3
rogr,musa,3
rogr,jesey,3
rogr,anwa,3
rogr,stwo,3
musa,rogr,3
jesey,rogr,3
anwa,rogr,3
stwo,rogr,3
musa,jesey,3
musa,anwa,3
musa,stwo,3
jesey,musa,3
anwa,musa,3
stwo,musa,3
jesey,anwa,3
jesey,stwo,3
anwa,jesey,3
stwo,jesey,3
anwa,stwo,3
stwo,anwa,3
Eu,InFi,2
Eu,CAg,2
Eu,MeFil,2
InFi,vias,3
InFi,chca,3
InFi,frci,3
InFi,faco,3
InFi,nigi,3
InFi,elka,3
InFi,dako,3
InFi,rogr,3
InFi,musa,3
InFi,jesey,3
InFi,anwa,3
InFi,stwo,3
vias,InFi,3
chca,InFi,3
frci,InFi,3
faco,InFi,3
nigi,InFi,3
elka,InFi,3
dako,InFi,3
rogr,InFi,3
musa,InFi,3
jesey,InFi,3
anwa,InFi,3
stwo,InFi,3
CAg,vias,3
CAg,chca,3
CAg,frci,3
CAg,faco,3
CAg,nigi,3
CAg,elka,3
CAg,dako,3
CAg,rogr,3
CAg,musa,3
CAg,jesey,3
CAg,anwa,3
CAg,stwo,3
vias,CAg,3
chca,CAg,3
frci,CAg,3
faco,CAg,3
nigi,CAg,3
elka,CAg,3
dako,CAg,3
rogr,CAg,3
musa,CAg,3
jesey,CAg,3
anwa,CAg,3
stwo,CAg,3
MeFil,vias,3
MeFil,chca,3
MeFil,frci,3
MeFil,faco,3
MeFil,nigi,3
MeFil,elka,3
MeFil,dako,3
MeFil,rogr,3
MeFil,musa,3
MeFil,jesey,3
MeFil,anwa,3
MeFil,stwo,3
vias,MeFil,3
chca,MeFil,3
frci,MeFil,3
faco,MeFil,3
nigi,MeFil,3
elka,MeFil,3
dako,MeFil,3
rogr,MeFil,3
musa,MeFil,3
jesey,MeFil,3
anwa,MeFil,3
stwo,MeFil,3
OpFil,Ida,1
PhFiIn,Ida,1
MeFiBa,Ida,2
DeDaFi,Ida,2
PoFi,Ida,2
Eu,Ida,2
pidz,Ida,1
chhu,Ida,1
erab,Ida,1
