,,,,,,,,,,,,
,,,,,,,,,,,,
Wert,Kommentar,,,,,,,,,,,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,,,,,,,,,,,
Arbeit an (relation=1),,,,,,,,,,,,
from,"Produzent, Produktionsfirma",,,,,,,,,,,
to ,Film,,,,,,,,,,,
Geldstrom (z.B. Förderung) (relation=2),,,,,,,,,,,,
from,Förderung,,,,,,,,,,,
to ,Film und zu Produktionsfirma,,,,,,,,,,,
"Zusammenarbeit (reziprok, wird zweimal eingetragen) (relation=3) im Projekt und in Kontakt miteinander",,,,,,,,,,,,
from,Produzent des jeweiligen Films untereinander,,,,,,,,,,,
to ,Produzent des jeweiligen Films untereinander,,,,,,,,,,,
from,"Produzent, Produktionsfirma (Vorsicht vor falschem Auswerten später -> wir wissen nicht wirklich ob jeder Produzent mit jeder Produktionsfirma zusammenarbeitet) ",,,,,,,,,,,
to ,"Produktionsfirma, Produzent",,,,,,,,,,,
,,,,,,,,,,,,
Reihenfolge erheben,,,,,,,,,,,,
,z.B: Produktionsfirma zu Film,,,,,,,,,,,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,,,,,,,,,,,
id,"Institutionen (hier wird Groß- und Kleinschreibung beachtet): production company, die ersten zwei Buchstaben der jeweiligen Wörter; Filme, die ersten drei Buchstaben vom ersten Wort; bei Artikeln noch den ersten Buchstaben vom nächsten Wort mitnehmen, Sonderzeichen ignorieren; funding, die ersten zwei Buchstaben der jeweiligen Wörter; fundation, die ersten zwei Buchstaben der jeweiligen Wörter. Ausnahme: Bei 4 1/2 film as haben wir das mit 41FiAs abgekürzt wegen des Schrägstriches. ",,,,,,,,,,,
,natürliche Personen( hier wird alles klein geschrieben): Producer jeweils die ersten zwei Anfangsbuchstaben der Vor- und Nachnamen (Mittelnamen und Doppelnamen werden weggelassen; directors: die ersten zwei Anfangsbuchstaben der Vor- und Nachnamen (Mittelnamen und Doppelnamen werden weggelassen,,,,,,,,,,,
Ausnahme,"bei Filmtiteln mit ""I..."": dann I großgeschrieben und die ersten 3 Buchstaben des darauffolgenden Wortes normale Filmregel, also I Daniel Blake --> IDan ",,,,,,,,,,,
,BBC Films --> BbcFi,,,,,,,,,,,
,"Doppelung der Id ""EsFi"", deshalb esquina films weiterhin als EsFi und essential filmproduktion als EsFiPr",,,,,,,,,,,
,"OpFil für Opus Films, da id OpFi schon vorhanden",,,,,,,,,,,
,"MeFil für Medusa Films, da MeFi schon vorhanden",,,,,,,,,,,
,"jesey für jerome seydoux, weil id jese schon vorhanden",,,,,,,,,,,
,"pafil für pathe films, da id pafi bereits vorhanden",,,,,,,,,,,
name,Name/ Film/Produktionsfirma in Kleinbuchstaben,,,,,,,,,,,
NA,definiert fehlende Werte,,,,,,,,,,,
category,,,,,,,,,,,,
,,,,,,,,,,,,
1,Film,,,,,,,,,,,
2,"Produzent*innen (ohne executive und ohne line producer, aber mit coproducer)",,,,,,,,,,,
