from,to,relation,weight
FrCi,Ana,1,99
LeFiPe,Ana,1,99
LeFiDePi,Ana,1,99
AuRhAlCi,Ana,1,99
DeDeLaChMa,Ana,2,1
ReAu,Ana,2,1
ReNo,Ana,2,1
CeNaDuCiEtDeLiAn,Ana,2,1
malu,dath,3,99
dath,malu,3,99
dath,Ana,1,99
malu,Ana,1,99
DeDeLaChMa,LeFiPe,2,1
DeDeLaChMa,LeFiDePi,2,1
DeDeLaChMa,FrCi,2,1
DeDeLaChMa,AuRhAlCi,2,1
ReAu,FrCi,2,1
ReAu,LeFiPe,2,1
ReAu,LeFiDePi,2,1
ReAu,AuRhAlCi,2,1
ReNo,FrCi,2,1
ReNo,LeFiPe,2,1
ReNo,AuRhAlCi,2,1
ReNo,LeFiDePi,2,1
CeNaDuCiEtDeLiAn,FrCi,2,2
CeNaDuCiEtDeLiAn,LeFiPe,2,1
CeNaDuCiEtDeLiAn,LeFiDePi,2,1
CeNaDuCiEtDeLiAn,AuRhAlCi,2,1
FrCi,malu,3,99
LeFiPe,malu,3,99
LeFiDePi,malu,3,99
AuRhAlCi,malu,3,99
FrCi,dath,3,99
LeFiPe,dath,3,99
LeFiDePi,dath,3,99
AuRhAlCi,dath,3,99
malu,FrCi,3,99
malu,LeFiPe,3,99
malu,LeFiDePi,3,99
malu,AuRhAlCi,3,99
dath,FrCi,3,99
dath,LeFiPe,3,99
dath,LeFiDePi,3,99
dath,AuRhAlCi,3,99
edgu,Poo,1,99
emst,Poo,1,99
anlo,Poo,1,99
dami,Poo,1,99
ilke,Poo,1,99
kama,Poo,1,99
yola,Poo,1,99
edgu,emst,3,99
edgu,yola,3,99
edgu,dami,3,99
edgu,ilke,3,99
edgu,kama,3,99
edgu,anlo,3,99
emst,dami,3,99
emst,ilke,3,99
emst,kama,3,99
emst,edgu,3,99
emst,anlo,3,99
emst,yola,3,99
anlo,dami,3,99
anlo,ilke,3,99
anlo,kama,3,99
anlo,edgu,3,99
anlo,emst,3,99
anlo,yola,3,99
yola,dami,3,99
yola,ilke,3,99
yola,kama,3,99
yola,edgu,3,99
yola,emst,3,99
yola,anlo,3,99
dami,ilke,3,99
dami,kama,3,99
dami,edgu,3,99
dami,emst,3,99
dami,anlo,3,99
dami,yola,3,99
ilke,dami,3,99
ilke,kama,3,99
ilke,edgu,3,99
ilke,emst,3,99
ilke,anlo,3,99
ilke,yola,3,99
kama,dami,3,99
kama,ilke,3,99
kama,edgu,3,99
kama,emst,3,99
kama,anlo,3,99
kama,yola,3,99
ElPi,Poo,1,99
FrTr,Poo,1,99
SePi,Poo,1,99
FiPr,Poo,1,99
emst,ElPi,3,99
emst,FrTr,3,99
emst,SePi,3,99
emst,FiPr,3,99
edgu,ElPi,3,99
edgu,FrTr,3,99
edgu,SePi,3,99
edgu,FiPr,3,99
anlo,ElPi,3,99
anlo,FrTr,3,99
anlo,SePi,3,99
anlo,FiPr,3,99
yola,ElPi,3,99
yola,FrTr,3,99
yola,SePi,3,99
yola,FiPr,3,99
dami,ElPi,3,99
dami,FrTr,3,99
dami,SePi,3,99
dami,FiPr,3,99
ilke,ElPi,3,99
ilke,FrTr,3,99
ilke,SePi,3,99
ilke,FiPr,3,99
kama,ElPi,3,99
kama,FrTr,3,99
kama,SePi,3,99
kama,FiPr,3,99
ElPi,emst,3,99
FrTr,emst,3,99
SePi,emst,3,99
FiPr,emst,3,99
ElPi,dami,3,99
FrTr,dami,3,99
SePi,dami,3,99
FiPr,dami,3,99
ElPi,ilke,3,99
FrTr,ilke,3,99
SePi,ilke,3,99
FiPr,ilke,3,99
ElPi,kama,3,99
FrTr,kama,3,99
SePi,kama,3,99
FiPr,kama,3,99
ElPi,edgu,3,99
FrTr,edgu,3,99
SePi,edgu,3,99
FiPr,edgu,3,99
ElPi,anlo,3,99
FrTr,anlo,3,99
SePi,anlo,3,99
FiPr,anlo,3,99
ElPi,yola,3,99
FrTr,yola,3,99
SePi,yola,3,99
FiPr,yola,3,99
CoInFi,Mant,1,99
alah,Mant,1,99
side,Mant,1,99
alah,side,3,99
side,alah,3,99
CoInFi,alah,3,99
CoInFi,side,3,99
alah,CoInFi,3,99
side,CoInFi,3,99
EsFi,Reg,1,99
StMo,Reg,1,99
BuPr,Reg,1,99
Im,Reg,1,99
tale,Reg,1,99
jumu,Reg,1,99
tale,jumu,3,99
jumu,tale,3,99
EsFi,tale,3,99
StMo,tale,3,99
BuPr,tale,3,99
Im,tale,3,99
EsFi,jumu,3,99
StMo,jumu,3,99
BuPr,jumu,3,99
Im,jumu,3,99
tale,EsFi,3,99
tale,StMo,3,99
tale,BuPr,3,99
tale,Im,3,99
jumu,EsFi,3,99
jumu,StMo,3,99
jumu,BuPr,3,99
jumu,Im,3,99
LoFi,Cho,1,99
SnFi,Cho,1,99
Pi,Cho,1,99
ReCiBeDo,Cho,1,99
joba,Cho,1,99
saga,Cho,1,99
bedo,Cho,1,99
maro,Cho,1,99
joba,saga,3,99
joba,bedo,3,99
joba,maro,3,99
maro,saga,3,99
maro,bedo,3,99
maro,joba,3,99
bedo,joba,3,99
bedo,saga,3,99
bedo,maro,3,99
saga,joba,3,99
bedo,joba,3,99
saga,maro,3,99
bedo,maro,3,99
joba,maro,3,99
joba,bedo,3,99
saga,bedo,3,99
LoFi,joba,3,99
LoFi,saga,3,99
LoFi,bedo,3,99
LoFi,maro,3,99
SnFi,joba,3,99
SnFi,saga,3,99
SnFi,bedo,3,99
SnFi,maro,3,99
Pi,joba,3,99
Pi,saga,3,99
Pi,bedo,3,99
Pi,maro,3,99
ReCiBeDo,joba,3,99
ReCiBeDo,saga,3,99
ReCiBeDo,bedo,3,99
ReCiBeDo,maro,3,99
joba,LoFi,3,99
saga,LoFi,3,99
bedo,LoFi,3,99
maro,LoFi,3,99
joba,SnFi,3,99
saga,SnFi,3,99
bedo,SnFi,3,99
maro,SnFi,3,99
joba,Pi,3,99
saga,Pi,3,99
bedo,Pi,3,99
maro,Pi,3,99
joba,ReCiBeDo,3,99
saga,ReCiBeDo,3,99
bedo,ReCiBeDo,3,99
maro,ReCiBeDo,3,99
PaFi,Sep,1,99
PhFi,Sep,1,99
EwFi,Sep,1,99
MaFaPr,Sep,1,99
BoIn,Sep,1,99
MoFiHaSc,Sep,2,1
muza,Sep,1,99
meta,Sep,1,99
faak,Sep,1,99
vifü,Sep,1,99
reju,Sep,1,99
nupo,Sep,1,99
nagu,Sep,1,99
miwe,Sep,1,99
lawe,Sep,1,99
muza,lawe,3,99
muza,miwe,3,99
muza,nagu,3,99
muza,beta,3,99
muza,nupo,3,99
muza,reju,3,99
muza,vifü,3,99
muza,faak,3,99
muza,meta,3,99
lawe,meta,3,99
lawe,muza,3,99
lawe,meta,3,99
lawe,faak,3,99
lawe,vifü,3,99
lawe,reju,3,99
lawe,nupo,3,99
lawe,beta,3,99
lawe,nagu,3,99
lawe,miwe,3,99
miwe,muza,3,99
miwe,meta,3,99
miwe,faak,3,99
miwe,vifü,3,99
miwe,reju,3,99
miwe,nupo,3,99
miwe,beta,3,99
miwe,nagu,3,99
miwe,lawe,3,99
nagu,muza,3,99
nagu,meta,3,99
nagu,faak,3,99
nagu,vifü,3,99
nagu,reju,3,99
nagu,nupo,3,99
nagu,beta,3,99
nagu,miwe,3,99
nagu,lawe,3,99
beta,muza,3,99
beta,meta,3,99
beta,faak,3,99
beta,vifü,3,99
beta,reju,3,99
beta,nupo,3,99
beta,nagu,3,99
beta,miwe,3,99
beta,lawe,3,99
nupo,muza,3,99
nupo,meta,3,99
nupo,faak,3,99
nupo,vifü,3,99
nupo,reju,3,99
nupo,beta,3,99
nupo,nagu,3,99
nupo,miwe,3,99
nupo,lawe,3,99
reju,muza,3,99
reju,meta,3,99
reju,faak,3,99
reju,vifü,3,99
reju,nupo,3,99
reju,beta,3,99
reju,nagu,3,99
reju,miwe,3,99
reju,lawe,3,99
vifü,muza,3,99
vifü,meta,3,99
vifü,faak,3,99
vifü,reju,3,99
vifü,nupo,3,99
vifü,beta,3,99
vifü,nagu,3,99
vifü,miwe,3,99
vifü,lawe,3,99
faak,muza,3,99
faak,meta,3,99
faak,vifü,3,99
faak,reju,3,99
faak,nupo,3,99
faak,beta,3,99
faak,nagu,3,99
faak,miwe,3,99
faak,lawe,3,99
meta,muza,3,99
meta,faak,3,99
meta,vifü,3,99
meta,reju,3,99
meta,nupo,3,99
meta,beta,3,99
meta,nagu,3,99
meta,miwe,3,99
meta,lawe,3,99
MoFiHaSc,PaFi,2,1
MoFiHaSc,PhFi,2,1
MoFiHaSc,EwFi,2,1
MoFiHaSc,MaFaPr,2,1
MoFiHaSc,BoIn,2,1
PaFi,muza,3,99
PaFi,meta,3,99
PaFi,faak,3,99
PaFi,vifü,3,99
PaFi,reju,3,99
PaFi,nupo,3,99
PaFi,beta,3,99
PaFi,nagu,3,99
PaFi,miwe,3,99
PaFi,lawe,3,99
PhFi,muza,3,99
PhFi,meta,3,99
PhFi,faak,3,99
PhFi,vifü,3,99
PhFi,reju,3,99
PhFi,nupo,3,99
PhFi,beta,3,99
PhFi,nagu,3,99
PhFi,miwe,3,99
PhFi,lawe,3,99
EwFi,muza,3,99
EwFi,meta,3,99
EwFi,faak,3,99
EwFi,vifü,3,99
EwFi,reju,3,99
EwFi,nupo,3,99
EwFi,beta,3,99
EwFi,nagu,3,99
EwFi,miwe,3,99
EwFi,lawe,3,99
MaFaPr,muza,3,99
MaFaPr,meta,3,99
MaFaPr,faak,3,99
MaFaPr,vifü,3,99
MaFaPr,reju,3,99
MaFaPr,nupo,3,99
MaFaPr,beta,3,99
MaFaPr,nagu,3,99
MaFaPr,miwe,3,99
MaFaPr,lawe,3,99
BoIn,muza,3,99
BoIn,meta,3,99
BoIn,faak,3,99
